mol1_R-configured	C1CCCCC1[R1]
mol50_L-Alanine	[C@@]([R1])([R2])([R3])C(=O)O
mol51_L-Alanine	[C@@](N)([R1])([R2])[R3]
mol52_L-Alanine	[C@@]([R1])([R2])([R3])[R4]
mol54_L-Alanine	[C@]([R1])(N)(C)C(=O)O
mol55_L-Alanine	[C@]([H])([R1])(C)C(=O)O
mol56_L-Alanine	[C@]([H])(N)([R1])C(=O)O
mol57_L-Alanine	[C@]([H])(N)(C)[R1]
mol58_L-Alanine	[C@]([R1])([R2])(C)C(=O)O
mol59_L-Alanine	[C@]([H])([R1])([R2])C(=O)O
mol60_L-Alanine	[C@]([H])(N)([R1])([R2])
mol61_L-Alanine	[C@]([R1])([R2])([R3])C(=O)O
mol62_L-Alanine	[C@]([H])([R1])([R2])[R3]
mol63_L-Alanine	[C@]([R1])([R2])([R3])[R4]
mol64_L-Alanine	[C@]([R1])([R2])([R3])([R4])
mol67_D-Alanine	N[C@]([R1])(C)C(=O)O
mol68_D-Alanine	N[C@]([H])([R1])C(=O)O
mol69_D-Alanine	N[C@]([H])(C)([R1])
mol70_D-Alanine	N[C@]([R1])([R2])C(=O)O
mol71_D-Alanine	N[C@]([H])([R1])([R2])
mol72_D-Alanine	N[C@]([R1])([R2])[R3]
mol74_D-Alanine	N[C@H]([R1])C(=O)O
mol75_D-Alanine	N[C@H](C)([R1])
mol76_D-Alanine	N[C@H]([R1])[R2]
mol77_D-Alanine	N[C@H]([R1])([R2])
mol79_D-Alanine	N[C@@H]([R1])C
mol80_D-Alanine	N[C@@H](C(=O)O)[R1]
mol81_D-Alanine	N[C@@H]([R1])[R2]
mol82_D-Alanine	N[C@@H]([R1])([R2])
mol87_D-Alanine	[H][C@@]([R1])(C)C(=O)O
mol88_D-Alanine	[H][C@@](N)([R1])C(=O)O
mol89_D-Alanine	[H][C@@](N)(C)[R1]
mol90_D-Alanine	[H][C@@]([R1])([R2])C(=O)O
mol91_D-Alanine	[H][C@@](N)([R1])([R2])
mol92_D-Alanine	[H][C@@]([R1])([R2])[R3]
mol94_D-Alanine	[C@@H]([R1])(C)C(=O)O
mol95_D-Alanine	[C@@H](N)([R1])C(=O)O
mol96_D-Alanine	[C@@H](N)(C)[R1]
mol97_D-Alanine	[C@@H]([R1])([R2])C(=O)O
mol98_D-Alanine	[C@@H](N)([R1])[R2]
mol99_D-Alanine	[C@@H]([R1])([R2])[R3]
mol100_D-Alanine	[C@@H]([R1])([R2])([R3])
mol106_D-Alanine	[C@]([R1])([H])(C)C(=O)O
mol107_D-Alanine	[C@](N)([R1])(C)C(=O)O
mol108_D-Alanine	[C@](N)([H])([R1])C(=O)O
mol109_D-Alanine	[C@](N)([H])(C)[R1]
mol110_D-Alanine	[C@]([R1])([R2])(C)C(=O)O
mol111_D-Alanine	[C@](N)([R1])([R2])C(=O)O
mol112_D-Alanine	[C@](N)([H])([R1])[R2]
mol113_D-Alanine	[C@]([R1])([R2])([R3])C(=O)O
mol114_D-Alanine	[C@](N)([R1])([R2])[R3]
mol115_D-Alanine	[C@]([R1])([R2])([R3])[R4]
mol117_D-Alanine	[C@@]([R1])(N)(C)C(=O)O
mol118_D-Alanine	[C@@]([H])([R1])(C)C(=O)O
mol119_D-Alanine	[C@@]([H])(N)([R1])C(=O)O
mol120_D-Alanine	[C@@]([H])(N)(C)[R1]
mol121_D-Alanine	[C@@]([R1])([R2])(C)C(=O)O
mol122_D-Alanine	[C@@]([H])([R1])([R2])C(=O)O
mol123_D-Alanine	[C@@]([H])(N)([R1])[R2]
mol124_D-Alanine	[C@@]([R1])([R2])([R3])C(=O)O
mol125_D-Alanine	[C@@]([H])([R1])([R2])[R3]
mol126_D-Alanine	[C@@]([R1])([R2])([R3])[R4]
mol127_D-Alanine	[C@@]([R1])([R2])([R3])([R4])
